freq,syl,let,word,imag,conc,meaning,list,id
100,2,9,knowledge,2.97,1.56,6.36,1,242
50,3,10,settlement,4.6,5.13,6.24,1,243
50,2,8,marriage,5.8,3.94,6.29,1,244
50,3,7,victory,4.93,2.95,6.12,1,245
100,2,6,person,5.83,6.51,5.68,1,246
49,1,3,toy,6.17,6.63,6.96,1,247
1,2,6,gender,2.9,3.63,5.41,1,248
100,2,7,journal,5.6,6.69,5.88,1,249
5,3,9,vigilance,3.53,2.6,5.72,1,250
1,2,6,rubble,5.23,6.18,5.4,1,251
14,2,7,tempest,5.63,5.62,6.96,1,252
50,2,6,theory,2.57,1.9,5.88,1,253
2,3,9,lubricant,5.23,5.86,5.44,1,254
50,2,5,metal,5.87,6.76,6.96,1,255
50,4,9,necessity,3,1.97,5.92,1,256
3,2,7,concept,1.93,1.97,3.76,1,257
50,3,6,colony,5.1,5.87,5,1,258
7,3,8,exertion,4.33,2.88,6,1,259
23,3,9,sovereign,5.73,5.94,7.12,1,260
100,2,4,body,6.4,6.58,5.61,1,261
2,3,6,simile,2.9,3.97,5.25,1,262
20,2,6,errand,4.27,4.21,6.48,1,263
28,1,5,thief,5.7,6.08,6.5,1,264
1,1,4,kine,2,4.53,2.88,1,265
7,3,9,hurricane,6.33,6.52,7.04,1,266
24,3,5,agony,5.43,3.13,6.06,1,267
1,3,11,wistfulness,3.13,1.83,4.16,1,268
100,2,7,picture,6.2,6.75,7.16,1,269
25,4,8,ceremony,5.37,4.58,5.17,1,270
7,2,7,lobster,6.57,6.96,6.84,1,271
4,3,10,passageway,5.53,6.28,5.08,1,272
50,3,7,quality,3.1,2.13,5.52,1,273
1,4,8,temerity,2.33,2.19,2.04,1,274
100,1,5,chief,6.07,5.87,6.08,1,275
100,3,7,officer,6.23,6.32,5.43,1,276
50,2,5,anger,4.87,1.7,5.83,1,277
100,2,5,sugar,6.57,6.96,7,1,278
28,2,7,steamer,6.53,6.94,6.32,1,279
50,2,5,cabin,6.47,6.96,7.2,1,280
2,2,5,dummy,5.83,6.34,4.88,1,281
25,3,6,oxygen,4.27,5.43,6.2,1,282
100,1,5,queen,6.57,6.38,7.36,1,283
100,3,9,gentleman,6.2,6.42,5.8,1,284
27,1,4,mood,3.67,1.52,5.36,1,285
50,3,8,hospital,6.53,6.8,7.44,1,286
7,3,10,perception,3.17,2.33,5.8,1,287
50,2,5,devil,5.63,2.13,6.94,1,288
3,3,11,connoisseur,5.2,5.31,4.28,1,289
2,2,8,chloride,4.2,6.28,5.75,1,290
23,1,5,truck,6.6,7,6.48,1,291
100,2,6,valley,6.57,6.66,6.56,1,292
20,1,5,quest,4.53,2.76,5.2,1,293
5,3,7,heroism,4.17,2.26,5.84,1,294
100,1,5,horse,6.8,6.94,8.67,1,295
50,3,7,factory,6.43,6.87,6,1,296
20,2,7,slipper,6.47,6.94,6.04,1,297
7,4,10,periodical,4.93,6.14,5.52,1,298
32,2,5,candy,6.63,6.56,6.39,1,299
5,3,8,lecturer,5.7,6.49,5.88,1,300
50,1,5,flesh,6.13,6.9,5.84,1,301
22,2,6,revolt,5.07,4.05,5.6,1,302
100,2,6,leader,5.13,5.83,6.16,1,303
50,2,6,excuse,2.77,3.05,4.04,1,304
50,2,8,contract,4.5,5.24,6.32,1,305
6,3,10,photograph,6.43,6.56,6.72,1,306
2,3,8,homicide,4.17,3.81,6.24,1,307
9,3,10,exhaustion,5.1,3.4,6.08,1,308
20,3,7,admiral,6.2,6.35,6.11,1,309
20,1,4,lump,5.63,6.2,5.44,1,310
20,4,9,democracy,2.47,1.79,5.72,1,311
50,1,6,prayer,5.17,3.6,6.63,1,312
100,1,4,girl,6.87,6.83,5.12,1,313
25,2,8,daylight,5.9,5.75,5.8,1,314
100,1,5,table,6.5,7,7.6,1,315
29,1,5,peach,6.6,6.8,6.84,1,316
22,2,7,goddess,5.23,3.04,6.48,1,317
1,3,9,brassiere,6.77,6.96,4.75,1,318
50,1,6,troops,6.13,6.69,7.54,1,319
40,2,8,garments,5.83,6.59,6.2,1,320
100,2,6,doctor,6.4,6.62,7.32,1,321
100,2,6,master,4.97,5.53,5.28,1,322
50,2,8,creature,4.6,6.03,5.5,1,323
1,2,6,foible,2.2,3.07,2.6,1,324
19,2,9,northwest,4,3.97,5.76,1,325
50,2,6,custom,3.43,2.99,5.33,1,326
7,1,4,core,5.17,4.67,5.11,1,327
100,1,7,thought,2.77,1.28,5.32,1,328
29,3,9,sentiment,3.57,1.83,4.88,1,329
45,2,5,mercy,3.4,1.59,5.2,1,330
22,2,6,bullet,6.47,7,7.68,1,331
50,2,6,safety,4.27,2.25,5.76,1,332
23,1,4,oats,6.07,6.9,7.16,1,333
24,3,6,injury,5.7,5.51,7.32,1,334
19,1,6,bronze,6.17,6.59,6.19,1,335
1,1,6,shriek,5.73,5.7,6.92,1,336
1,2,9,whalebone,4.9,6.87,7.04,1,337
100,2,6,window,6.37,7,6.76,1,338
100,1,4,tree,6.77,7,6.79,1,339
50,3,9,committee,5.03,6.35,5.95,1,340
19,3,9,formation,3.87,3.76,4.92,1,341
100,2,5,power,4.47,2.73,5.88,1,342
27,2,6,patent,3.43,4.05,4.96,1,343
100,3,8,interest,3.13,2.2,5.52,1,344
25,2,7,costume,5.8,6.12,6.19,1,345
100,1,4,iron,6.07,6.87,6.12,1,346
50,3,8,magazine,6.4,6.8,6.52,1,347
100,1,6,street,6.57,6.62,7.48,1,348
1,3,11,cobblestone,5.87,6.58,6.38,1,349
3,2,9,hindrance,3.07,2.97,4.8,1,350
8,3,8,bungalow,6.13,6.87,5.48,1,351
100,2,6,moment,2.5,2.52,4.38,1,352
3,3,8,molecule,4.43,5.38,6.68,1,353
3,3,9,blasphemy,3.17,2.88,5.19,1,354
50,2,7,product,4.2,5.8,5.12,1,355
50,1,5,wheat,6.4,7,7.96,1,356
100,1,8,strength,4.63,2.9,5.12,1,357
17,2,7,trumpet,6.6,7,6.8,1,358
25,1,3,fox,6.73,7,7.4,1,359
100,1,4,life,4.07,2.96,6.78,1,360
6,2,6,mammal,5.57,6.31,5.8,1,361
2,4,10,prosecutor,5,5.87,6.32,1,362
14,3,7,gravity,3.6,2.56,6.24,1,363
38,3,10,atmosphere,4.23,3.76,7.17,1,364
5,3,6,gaiety,5.63,2.15,6.72,1,365
7,2,7,dweller,4.37,5.8,5.09,1,366
22,1,4,tomb,6.37,6.73,6.04,1,367
1,3,9,speakeasy,3.8,4.84,5.43,1,368
1,4,10,detonation,4.57,4.45,5.48,1,369
2,2,5,fiord,5.7,6.69,6.48,1,370
100,1,4,book,6.43,6.96,7.68,1,371
4,2,9,courtship,5.3,3.22,6.13,1,372
100,2,8,mountain,6.77,7,7.58,1,373
100,1,5,plant,6.5,6.87,8.32,1,374
5,3,10,underworld,4.37,4.43,5.76,1,375
21,3,8,reaction,3.83,2.93,4.84,1,376
50,1,4,pipe,6.43,6.9,6.2,1,377
27,1,4,lime,5.67,6.69,7.12,1,378
100,1,5,dress,6.53,6.93,5.68,1,379
2,2,9,storeroom,5.87,6.73,6.52,1,380
50,2,5,tower,6.53,6.96,6.42,1,381
100,1,4,time,4.13,2.47,7,1,382
29,2,5,folly,2.93,2.63,4.4,1,383
50,4,9,discovery,4.13,3.06,5.5,1,384
9,2,5,chaos,4.57,2.5,5.88,1,385
31,1,4,fork,6.57,6.94,7.08,1,386
3,3,11,distraction,3.23,2.35,4.12,1,387
5,2,5,venom,4.23,5.62,6.4,1,388
100,2,5,money,6.43,6.63,6.68,1,389
3,3,8,scorpion,6.27,6.93,6.24,1,390
100,1,4,form,4.3,4.08,4.6,1,391
100,2,6,garden,6.73,6.83,6.36,1,392
21,3,10,enterprise,3.07,3.55,5.36,1,393
21,2,5,ankle,6.77,7,6.82,1,394
1,3,9,hierarchy,5.13,2.73,4.48,1,395
100,1,5,grass,6.63,6.96,7.54,1,396
28,2,6,rattle,6.3,6.6,6.8,1,397
100,1,3,cat,6.8,7,6.76,1,398
1,1,4,gist,1.97,1.77,3.33,1,399
13,3,8,umbrella,6.6,7,6.76,1,400
50,1,4,bowl,6.3,6.9,7.24,1,401
26,3,11,distinction,2.7,2.2,3.8,1,402
50,1,4,wine,6.6,6.96,7.54,1,403
4,3,11,suppression,2.83,2.35,3.89,1,404
50,1,4,gift,5.77,5.95,7.04,1,405
43,3,9,physician,6.37,6.59,5.92,1,406
6,2,8,casement,4.63,6.24,5.25,1,407
4,3,7,mastery,2.77,2.2,5.46,1,408
27,3,8,tendency,2.2,1.78,4.08,1,409
1,3,10,letterhead,5.13,6.45,4.92,1,410
48,3,6,origin,2.3,3.25,5.32,1,411
100,1,3,air,4.17,5.67,6.36,1,412
1,2,11,forethought,2.57,1.83,4.4,1,413
50,3,6,memory,3.1,1.78,5,1,414
1,2,6,abbess,2.97,4.78,2.48,1,415
1,4,9,criterion,1.83,1.93,3,1,416
100,2,5,river,6.63,6.83,7.52,1,417
35,2,8,kindness,4.2,1.63,4.84,1,418
10,3,9,orchestra,6.77,6.55,6.76,1,419
4,3,9,exclusion,2.8,2.41,5.32,1,420
19,4,12,contribution,3.67,3.33,5.44,1,421
100,2,6,answer,2.77,4.49,6.04,1,422
16,2,5,abode,5.07,6.31,6.64,1,423
17,3,6,comedy,4.9,3.51,6.08,1,424
21,3,8,devotion,3.9,1.48,5.52,1,425
50,1,5,charm,4.7,2.17,6.13,1,426
23,1,4,boss,5.73,6.35,5.81,1,427
50,3,6,salary,4.7,5.23,5.08,1,428
100,2,6,corner,6.13,6.65,5.67,1,429
20,2,6,hatred,3.97,1.59,4.84,1,430
29,1,5,swamp,6.33,6.62,6.67,1,431
50,2,8,clothing,6.17,6.63,7.08,1,432
48,3,11,grandmother,6.43,6.66,6.08,1,433
100,2,6,effort,3.33,2.22,5.75,1,434
50,1,5,coast,6.13,6.59,6.4,1,435
7,2,6,goblet,6.03,6.96,5.72,1,436
19,3,9,amazement,4.47,2.18,4.5,1,437
50,2,5,pupil,6.37,6.63,6.24,1,438
100,2,4,idea,2.2,1.42,4.88,1,439
43,2,7,blossom,6.67,6.62,7.6,1,440
100,2,5,paper,6.3,6.89,7.68,1,441
3,3,9,insolence,3.93,1.93,4.76,1,442
100,2,6,mother,6.67,6.52,5.83,1,443
9,3,9,ownership,3.27,3.07,5.2,1,444
2,2,6,nutmeg,5.37,6.87,5.6,1,445
50,3,10,convention,5.07,5.38,4.92,1,446
3,2,8,leggings,5.87,6.9,6.12,1,447
100,1,5,shoes,6.63,7,7.52,1,448
1,1,4,lice,5.57,6.36,6.56,1,449
24,3,10,engagement,4.7,3.46,5.76,1,450
15,4,9,obedience,3.67,1.58,5.2,1,451
1,3,9,medallion,5.87,6.73,6.32,1,452
4,4,9,avalanche,6.27,6.38,6.72,1,453
21,3,10,discipline,3.57,2.17,6.04,1,454
100,3,7,history,3.47,3.03,6.91,1,455
50,3,10,appearance,4.07,3.4,5.68,1,456
100,2,4,army,6.53,6.55,6.88,1,457
21,4,10,ambassador,5.7,6.22,5.22,1,458
1,4,11,flexibility,4,3.22,5.6,1,459
12,2,7,madness,4.03,2.35,5.16,1,460
50,1,6,string,6.2,6.9,5.29,1,461
1,3,8,pacifism,3.9,2.06,3.8,1,462
2,2,8,namesake,3.37,3.53,4.2,1,463
1,2,7,boredom,3.83,1.94,4.63,1,464
1,4,8,busybody,5.17,5,5.5,1,465
100,1,4,home,6.5,6.25,6.88,1,466
50,1,5,fault,2.83,2.87,4.8,1,467
5,3,6,equity,2.23,2.57,3.72,1,468
20,2,7,settler,5.4,6.07,6.48,1,469
22,4,11,disposition,2.93,1.78,4.92,1,470
8,2,7,bouquet,6.77,6.55,5.76,1,471
38,1,4,limb,6.17,6.93,6.8,1,472
50,1,4,deed,3.63,4.19,5.32,1,473
31,4,11,explanation,2.9,3.25,5.8,1,474
6,3,10,belongings,5.1,5.85,5.38,1,475
26,3,9,attendant,5.03,6.07,4.5,1,476
5,3,9,racketeer,5.07,6.07,5.56,1,477
100,1,4,soil,6,6.87,8,1,478
28,2,7,exhaust,5.17,5,6.29,1,479
100,1,4,soul,2.13,1.87,6.4,1,480
24,3,8,intimate,5,2.03,5.13,1,481
7,2,7,leaflet,5.47,6.62,4.92,1,482
49,4,7,ability,2.67,2.03,5.6,1,483
8,2,7,creator,3.87,3.97,5.68,1,484
50,1,5,pride,4.23,1.49,5.24,1,485
29,2,4,oven,6.4,6.96,8.08,1,486
23,3,8,disaster,5.1,4.12,6.56,1,487
3,2,8,kerchief,5.23,6.82,6.48,1,488
1,2,8,tweezers,6.57,6.93,5.8,1,489
42,2,6,weapon,5.73,6.38,7.84,1,490
27,2,6,banker,6.03,6.38,6.56,1,491
100,1,5,month,4.37,3.2,4.58,1,492
100,2,8,building,6.4,6.94,5.48,1,493
50,1,4,fate,2.37,1.46,4,1,494
23,3,8,facility,2.73,2.2,4.64,1,495
26,3,6,misery,4.37,2.28,5.84,1,496
6,2,7,leopard,6.77,7,6.83,1,497
1,2,6,rating,2.6,2.66,5.12,1,498
100,2,5,woman,6.7,6.63,6.4,1,499
2,4,8,atrocity,3.67,2.38,4.17,1,500
50,3,8,prisoner,6.23,6.45,6.76,1,501
8,1,4,crag,4.77,6.42,5.44,1,502
21,1,4,code,4.53,4.53,6.63,1,503
1,3,8,betrayal,3.57,1.77,5,1,504
50,2,7,boulder,6.13,6.96,5.88,1,505
100,1,5,green,6.6,5.46,6.68,1,506
3,3,10,inducement,2.93,2.34,3.68,1,507
100,1,4,star,6.7,6.73,7.04,1,508
100,1,4,fact,2.2,3.31,4.29,1,509
1,3,8,derelict,4.6,5.66,4.52,1,510
1,2,5,adage,2.77,3.63,3,1,511
100,1,5,plain,5.37,5.28,5.2,1,512
21,2,7,captive,5.27,5.8,5.39,1,513
10,3,9,promotion,3.33,3.56,5.56,1,514
100,2,5,ocean,6.77,6.9,8.76,1,515
22,1,4,moss,6.33,6.87,7.04,1,516
32,1,5,ghost,5.37,2.97,6,1,517
24,3,7,miracle,3.33,2.25,5.6,1,518
20,2,5,array,3.3,3.6,4.17,1,519
50,5,11,opportunity,3.03,2.63,4.08,1,520
1,4,9,armadillo,3.77,6.44,4.38,1,521
5,4,10,graduation,6.03,4.28,6.28,1,522
2,2,7,warbler,5.57,6.63,5.79,1,523
100,1,4,lord,4.63,4.18,6.68,1,524
50,1,4,corn,6.47,6.9,6.96,1,525
19,2,7,fatigue,5.07,4.28,3.88,1,526
26,2,7,comrade,5.57,5.65,5.58,1,527
1,4,9,disparity,2.7,2.07,3.52,1,528
5,4,10,salutation,4.47,4.87,5.24,1,529
3,2,7,sunburn,6.7,6.52,7.72,1,530
50,1,4,dawn,6.37,5.83,7.36,1,531
100,2,4,baby,6.7,6.9,7.04,1,532
19,4,11,caterpillar,6.57,6.96,6.88,1,533
1,3,10,wholesaler,3.87,6.15,4.88,1,534
50,2,6,shadow,5.63,4.94,5.28,1,535
50,3,8,quantity,3.47,3.32,4.17,1,536
42,3,10,instrument,5.67,6.25,6.72,1,537
100,2,5,water,6.6,6.96,7.5,1,538
3,1,4,suds,6.4,6.75,7.29,1,539
100,2,7,village,6.5,6.69,5.32,1,540
22,2,7,tribute,3.57,3.12,5.52,1,541
13,1,5,nymph,5.63,4.4,5.36,1,542
100,1,4,gold,6.47,6.76,6.36,1,543
3,3,8,outsider,5.27,5.07,4.56,1,544
50,3,7,library,6.73,6.87,6.4,1,545
2,3,10,competence,2.97,1.86,4.63,1,546
50,1,4,hide,3.8,5.45,5.63,1,547
2,2,6,feline,4.67,5.31,5.42,1,548
